Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
94,81,9,7,86,74,13,Train/13/00013_00004_00026.png
116,96,11,8,106,88,13,Train/13/00013_00004_00027.png
130,117,11,11,119,107,13,Train/13/00013_00004_00028.png
154,136,13,11,141,125,13,Train/13/00013_00004_00029.png
27,29,5,6,22,24,13,Train/13/00013_00005_00000.png
29,29,6,5,24,24,13,Train/13/00013_00005_00001.png
29,29,6,5,24,24,13,Train/13/00013_00005_00002.png
29,30,5,5,24,25,13,Train/13/00013_00005_00003.png
31,31,6,5,26,26,13,Train/13/00013_00005_00004.png
30,30,5,5,24,25,13,Train/13/00013_00005_00005.png
31,32,5,5,26,27,13,Train/13/00013_00005_00006.png
32,33,6,6,27,28,13,Train/13/00013_00005_00007.png
32,33,5,5,27,28,13,Train/13/00013_00005_00008.png
32,34,5,6,27,29,13,Train/13/00013_00005_00009.png
33,33,5,5,27,28,13,Train/13/00013_00005_00010.png
36,35,6,5,31,30,13,Train/13/00013_00005_00011.png
39,34,6,5,34,29,13,Train/13/00013_00005_00012.png
38,37,5,6,33,32,13,Train/13/00013_00005_00013.png
41,39,5,6,36,34,13,Train/13/00013_00005_00014.png
45,43,6,6,40,38,13,Train/13/00013_00005_00015.png
47,44,6,5,42,39,13,Train/13/00013_00005_00016.png
46,44,5,5,41,39,13,Train/13/00013_00005_00017.png
52,46,6,5,47,41,13,Train/13/00013_00005_00018.png
54,49,5,6,49,44,13,Train/13/00013_00005_00019.png
56,51,5,6,51,46,13,Train/13/00013_00005_00020.png
59,55,5,5,54,50,13,Train/13/00013_00005_00021.png
62,57,6,6,57,52,13,Train/13/00013_00005_00022.png
69,60,7,5,63,55,13,Train/13/00013_00005_00023.png
77,68,7,6,71,62,13,Train/13/00013_00005_00024.png
82,75,7,7,75,69,13,Train/13/00013_00005_00025.png
90,87,8,8,82,79,13,Train/13/00013_00005_00026.png
97,98,8,8,89,90,13,Train/13/00013_00005_00027.png
111,116,9,11,102,106,13,Train/13/00013_00005_00028.png
131,136,11,11,120,125,13,Train/13/00013_00005_00029.png
28,26,5,6,23,21,13,Train/13/00013_00006_00000.png
28,26,6,6,23,21,13,Train/13/00013_00006_00001.png
28,26,6,5,23,21,13,Train/13/00013_00006_00002.png
29,29,5,6,24,24,13,Train/13/00013_00006_00003.png
30,30,5,6,25,25,13,Train/13/00013_00006_00004.png
32,30,6,5,26,24,13,Train/13/00013_00006_00005.png
33,31,6,5,28,26,13,Train/13/00013_00006_00006.png
32,31,5,5,27,26,13,Train/13/00013_00006_00007.png
34,33,6,6,29,28,13,Train/13/00013_00006_00008.png
34,32,5,6,29,27,13,Train/13/00013_00006_00009.png
35,32,5,5,30,26,13,Train/13/00013_00006_00010.png
36,33,5,6,31,28,13,Train/13/00013_00006_00011.png
38,35,6,6,33,30,13,Train/13/00013_00006_00012.png
40,36,6,6,35,31,13,Train/13/00013_00006_00013.png
41,38,6,6,36,33,13,Train/13/00013_00006_00014.png
42,38,5,5,37,33,13,Train/13/00013_00006_00015.png
45,41,5,6,39,35,13,Train/13/00013_00006_00016.png
46,41,5,5,41,36,13,Train/13/00013_00006_00017.png
49,43,6,5,44,38,13,Train/13/00013_00006_00018.png
51,46,5,6,45,41,13,Train/13/00013_00006_00019.png
53,46,5,5,48,41,13,Train/13/00013_00006_00020.png
56,49,5,6,50,44,13,Train/13/00013_00006_00021.png
57,51,5,5,52,46,13,Train/13/00013_00006_00022.png
60,53,6,5,55,48,13,Train/13/00013_00006_00023.png
64,55,6,5,59,50,13,Train/13/00013_00006_00024.png
65,58,6,5,60,52,13,Train/13/00013_00006_00025.png
72,62,7,6,66,57,13,Train/13/00013_00006_00026.png
76,68,7,7,70,62,13,Train/13/00013_00006_00027.png
76,69,6,6,70,63,13,Train/13/00013_00006_00028.png
84,75,7,7,77,69,13,Train/13/00013_00006_00029.png
35,34,6,6,30,29,13,Train/13/00013_00007_00000.png
38,35,6,5,33,30,13,Train/13/00013_00007_00001.png
38,35,6,5,33,30,13,Train/13/00013_00007_00002.png
40,36,6,5,34,31,13,Train/13/00013_00007_00003.png
40,38,6,6,35,33,13,Train/13/00013_00007_00004.png
39,38,5,5,34,32,13,Train/13/00013_00007_00005.png
41,40,6,6,36,35,13,Train/13/00013_00007_00006.png
41,40,6,6,36,35,13,Train/13/00013_00007_00007.png
41,39,6,5,36,34,13,Train/13/00013_00007_00008.png
42,39,6,6,37,34,13,Train/13/00013_00007_00009.png
42,41,5,6,37,35,13,Train/13/00013_00007_00010.png
44,41,6,6,39,36,13,Train/13/00013_00007_00011.png
44,41,5,5,39,36,13,Train/13/00013_00007_00012.png
48,44,6,6,43,39,13,Train/13/00013_00007_00013.png
48,43,6,5,43,38,13,Train/13/00013_00007_00014.png
49,44,6,5,44,39,13,Train/13/00013_00007_00015.png
50,45,6,5,45,40,13,Train/13/00013_00007_00016.png
52,46,6,5,47,41,13,Train/13/00013_00007_00017.png
52,48,5,5,47,42,13,Train/13/00013_00007_00018.png
54,49,5,5,49,44,13,Train/13/00013_00007_00019.png
56,50,6,5,51,45,13,Train/13/00013_00007_00020.png
58,52,6,5,53,47,13,Train/13/00013_00007_00021.png
58,54,5,6,53,49,13,Train/13/00013_00007_00022.png
61,56,6,6,56,51,13,Train/13/00013_00007_00023.png
64,57,6,5,59,52,13,Train/13/00013_00007_00024.png
63,59,5,6,58,54,13,Train/13/00013_00007_00025.png
64,60,6,6,59,55,13,Train/13/00013_00007_00026.png
65,60,6,6,60,55,13,Train/13/00013_00007_00027.png
70,63,6,5,63,57,13,Train/13/00013_00007_00028.png
72,67,6,6,66,61,13,Train/13/00013_00007_00029.png
40,44,6,6,35,39,13,Train/13/00013_00008_00000.png
41,45,6,6,36,40,13,Train/13/00013_00008_00001.png
42,46,6,6,37,41,13,Train/13/00013_00008_00002.png
40,47,5,6,35,41,13,Train/13/00013_00008_00003.png
42,48,6,6,36,42,13,Train/13/00013_00008_00004.png
43,47,6,5,37,42,13,Train/13/00013_00008_00005.png
44,49,6,6,39,44,13,Train/13/00013_00008_00006.png
45,49,6,5,40,44,13,Train/13/00013_00008_00007.png
46,52,6,5,41,47,13,Train/13/00013_00008_00008.png
46,53,5,5,40,47,13,Train/13/00013_00008_00009.png
48,55,6,6,43,50,13,Train/13/00013_00008_00010.png
48,57,6,6,43,51,13,Train/13/00013_00008_00011.png
49,57,6,6,44,52,13,Train/13/00013_00008_00012.png
49,59,5,6,43,54,13,Train/13/00013_00008_00013.png
49,60,5,5,44,55,13,Train/13/00013_00008_00014.png
51,61,6,5,46,56,13,Train/13/00013_00008_00015.png
53,62,6,5,48,56,13,Train/13/00013_00008_00016.png
55,60,6,5,50,55,13,Train/13/00013_00008_00017.png
56,65,6,5,51,59,13,Train/13/00013_00008_00018.png
57,68,6,6,52,62,13,Train/13/00013_00008_00019.png
59,73,6,6,54,66,13,Train/13/00013_00008_00020.png
60,77,6,7,54,71,13,Train/13/00013_00008_00021.png
59,79,5,7,53,72,13,Train/13/00013_00008_00022.png
60,83,6,8,55,76,13,Train/13/00013_00008_00023.png
62,86,5,8,57,79,13,Train/13/00013_00008_00024.png
64,92,6,8,59,84,13,Train/13/00013_00008_00025.png
65,96,6,9,60,88,13,Train/13/00013_00008_00026.png
68,100,6,9,62,92,13,Train/13/00013_00008_00027.png
70,107,6,9,64,98,13,Train/13/00013_00008_00028.png
71,111,6,10,65,102,13,Train/13/00013_00008_00029.png
29,28,6,5,24,23,13,Train/13/00013_00009_00000.png
29,28,5,5,24,22,13,Train/13/00013_00009_00001.png
32,29,5,5,27,24,13,Train/13/00013_00009_00002.png
30,30,6,6,25,24,13,Train/13/00013_00009_00003.png
30,30,5,6,25,25,13,Train/13/00013_00009_00004.png
33,29,6,5,28,24,13,Train/13/00013_00009_00005.png
32,31,5,5,26,26,13,Train/13/00013_00009_00006.png
33,33,5,6,27,27,13,Train/13/00013_00009_00007.png
34,33,5,5,29,28,13,Train/13/00013_00009_00008.png
36,34,6,6,30,29,13,Train/13/00013_00009_00009.png
37,37,5,6,32,32,13,Train/13/00013_00009_00010.png
38,39,5,6,33,33,13,Train/13/00013_00009_00011.png
41,39,6,5,36,34,13,Train/13/00013_00009_00012.png
43,40,6,5,38,35,13,Train/13/00013_00009_00013.png
42,42,5,6,37,36,13,Train/13/00013_00009_00014.png
44,42,5,5,38,36,13,Train/13/00013_00009_00015.png
46,43,6,5,40,37,13,Train/13/00013_00009_00016.png
49,46,6,5,44,41,13,Train/13/00013_00009_00017.png
50,49,5,6,45,44,13,Train/13/00013_00009_00018.png
53,52,6,6,48,46,13,Train/13/00013_00009_00019.png
56,53,6,6,51,48,13,Train/13/00013_00009_00020.png
60,55,5,5,55,50,13,Train/13/00013_00009_00021.png
63,60,6,6,58,54,13,Train/13/00013_00009_00022.png
68,61,7,5,62,56,13,Train/13/00013_00009_00023.png
69,64,7,6,63,59,13,Train/13/00013_00009_00024.png
71,65,7,6,64,60,13,Train/13/00013_00009_00025.png
74,71,7,7,68,65,13,Train/13/00013_00009_00026.png
75,73,6,7,69,67,13,Train/13/00013_00009_00027.png
76,75,6,7,70,68,13,Train/13/00013_00009_00028.png
83,80,7,8,76,73,13,Train/13/00013_00009_00029.png
31,32,6,6,26,27,13,Train/13/00013_00010_00000.png
30,32,5,6,25,27,13,Train/13/00013_00010_00001.png
31,31,5,5,25,26,13,Train/13/00013_00010_00002.png
34,34,5,6,29,29,13,Train/13/00013_00010_00003.png
34,35,5,6,29,30,13,Train/13/00013_00010_00004.png
35,35,5,5,30,30,13,Train/13/00013_00010_00005.png
37,36,5,5,31,31,13,Train/13/00013_00010_00006.png
38,34,5,5,33,29,13,Train/13/00013_00010_00007.png
40,37,5,6,35,32,13,Train/13/00013_00010_00008.png
43,38,6,6,37,33,13,Train/13/00013_00010_00009.png
44,40,6,6,39,35,13,Train/13/00013_00010_00010.png
47,42,6,5,42,37,13,Train/13/00013_00010_00011.png
50,45,6,5,45,40,13,Train/13/00013_00010_00012.png
50,46,6,5,45,41,13,Train/13/00013_00010_00013.png
53,52,5,5,48,47,13,Train/13/00013_00010_00014.png
56,50,6,5,51,45,13,Train/13/00013_00010_00015.png
57,53,6,6,52,47,13,Train/13/00013_00010_00016.png
60,55,6,5,55,49,13,Train/13/00013_00010_00017.png
62,57,6,6,57,52,13,Train/13/00013_00010_00018.png
62,59,5,5,57,53,13,Train/13/00013_00010_00019.png
65,61,6,6,60,56,13,Train/13/00013_00010_00020.png
69,63,6,6,62,57,13,Train/13/00013_00010_00021.png
70,64,7,5,63,59,13,Train/13/00013_00010_00022.png
71,69,6,6,65,63,13,Train/13/00013_00010_00023.png
74,71,7,6,67,64,13,Train/13/00013_00010_00024.png
73,73,6,7,67,67,13,Train/13/00013_00010_00025.png
79,74,7,6,72,68,13,Train/13/00013_00010_00026.png
81,80,7,8,74,73,13,Train/13/00013_00010_00027.png
73,74,6,7,67,68,13,Train/13/00013_00010_00028.png
74,74,6,6,68,68,13,Train/13/00013_00010_00029.png
38,40,6,5,33,35,13,Train/13/00013_00011_00000.png
36,39,5,5,31,34,13,Train/13/00013_00011_00001.png
38,39,6,5,33,34,13,Train/13/00013_00011_00002.png
40,42,6,5,35,37,13,Train/13/00013_00011_00003.png
40,43,6,6,35,38,13,Train/13/00013_00011_00004.png
40,45,5,6,35,40,13,Train/13/00013_00011_00005.png
40,45,5,6,35,40,13,Train/13/00013_00011_00006.png
41,45,5,5,36,40,13,Train/13/00013_00011_00007.png
41,45,5,5,36,40,13,Train/13/00013_00011_00008.png
43,46,6,6,38,41,13,Train/13/00013_00011_00009.png
42,44,6,6,37,39,13,Train/13/00013_00011_00010.png
42,47,5,5,37,42,13,Train/13/00013_00011_00011.png
42,49,5,5,37,44,13,Train/13/00013_00011_00012.png
42,49,5,5,37,44,13,Train/13/00013_00011_00013.png
43,51,5,6,38,46,13,Train/13/00013_00011_00014.png
44,50,6,6,39,45,13,Train/13/00013_00011_00015.png
44,49,5,5,39,44,13,Train/13/00013_00011_00016.png
46,52,5,6,41,47,13,Train/13/00013_00011_00017.png
54,61,6,6,49,56,13,Train/13/00013_00011_00018.png
54,63,5,6,49,58,13,Train/13/00013_00011_00019.png
55,64,5,6,50,59,13,Train/13/00013_00011_00020.png
57,67,6,6,52,61,13,Train/13/00013_00011_00021.png
57,70,5,6,52,64,13,Train/13/00013_00011_00022.png
59,72,5,6,54,66,13,Train/13/00013_00011_00023.png
62,76,6,7,57,70,13,Train/13/00013_00011_00024.png
63,81,6,8,58,74,13,Train/13/00013_00011_00025.png
63,84,5,7,58,77,13,Train/13/00013_00011_00026.png
65,89,6,8,60,82,13,Train/13/00013_00011_00027.png
70,97,7,9,64,89,13,Train/13/00013_00011_00028.png
71,100,6,9,65,92,13,Train/13/00013_00011_00029.png
34,32,5,6,29,27,13,Train/13/00013_00012_00000.png
36,34,5,6,31,29,13,Train/13/00013_00012_00001.png
38,34,6,5,33,29,13,Train/13/00013_00012_00002.png
38,34,6,5,33,29,13,Train/13/00013_00012_00003.png
39,35,6,6,34,30,13,Train/13/00013_00012_00004.png
40,35,6,5,35,30,13,Train/13/00013_00012_00005.png
42,37,6,5,36,31,13,Train/13/00013_00012_00006.png
42,38,5,5,37,33,13,Train/13/00013_00012_00007.png
44,40,6,6,39,35,13,Train/13/00013_00012_00008.png
45,42,5,6,40,37,13,Train/13/00013_00012_00009.png
48,44,6,6,43,39,13,Train/13/00013_00012_00010.png
49,44,6,5,44,39,13,Train/13/00013_00012_00011.png
51,46,6,5,46,41,13,Train/13/00013_00012_00012.png
52,49,5,6,47,43,13,Train/13/00013_00012_00013.png
55,51,5,6,50,46,13,Train/13/00013_00012_00014.png
54,49,6,5,49,44,13,Train/13/00013_00012_00015.png
57,50,5,5,51,45,13,Train/13/00013_00012_00016.png
61,54,6,5,56,48,13,Train/13/00013_00012_00017.png
64,57,5,6,58,52,13,Train/13/00013_00012_00018.png
69,59,7,5,63,54,13,Train/13/00013_00012_00019.png
70,63,6,6,64,58,13,Train/13/00013_00012_00020.png
70,63,6,5,64,58,13,Train/13/00013_00012_00021.png
73,68,7,7,67,62,13,Train/13/00013_00012_00022.png
76,70,6,6,70,64,13,Train/13/00013_00012_00023.png
86,76,7,6,79,70,13,Train/13/00013_00012_00024.png
87,79,7,7,80,72,13,Train/13/00013_00012_00025.png
88,81,7,8,80,73,13,Train/13/00013_00012_00026.png
96,84,9,8,88,77,13,Train/13/00013_00012_00027.png
98,86,9,7,90,78,13,Train/13/00013_00012_00028.png
105,93,10,9,96,85,13,Train/13/00013_00012_00029.png
41,36,6,5,36,31,13,Train/13/00013_00013_00000.png
42,37,6,5,37,32,13,Train/13/00013_00013_00001.png
41,38,6,6,36,33,13,Train/13/00013_00013_00002.png
41,37,6,5,36,32,13,Train/13/00013_00013_00003.png
41,37,5,5,35,32,13,Train/13/00013_00013_00004.png
42,38,6,6,37,33,13,Train/13/00013_00013_00005.png
42,39,6,6,37,34,13,Train/13/00013_00013_00006.png
43,40,5,6,37,35,13,Train/13/00013_00013_00007.png
45,41,5,5,40,36,13,Train/13/00013_00013_00008.png
48,43,6,5,43,38,13,Train/13/00013_00013_00009.png
49,46,5,6,43,40,13,Train/13/00013_00013_00010.png
47,44,6,6,42,39,13,Train/13/00013_00013_00011.png
46,45,5,6,41,40,13,Train/13/00013_00013_00012.png
50,47,6,5,44,41,13,Train/13/00013_00013_00013.png
51,49,6,6,46,44,13,Train/13/00013_00013_00014.png
52,48,5,5,47,42,13,Train/13/00013_00013_00015.png
54,50,5,5,49,45,13,Train/13/00013_00013_00016.png
55,51,5,5,50,46,13,Train/13/00013_00013_00017.png
59,53,6,6,54,48,13,Train/13/00013_00013_00018.png
65,57,6,6,60,52,13,Train/13/00013_00013_00019.png
70,59,7,5,64,53,13,Train/13/00013_00013_00020.png
68,61,6,6,62,56,13,Train/13/00013_00013_00021.png
72,62,6,5,65,57,13,Train/13/00013_00013_00022.png
73,65,6,5,67,59,13,Train/13/00013_00013_00023.png
80,67,7,6,73,61,13,Train/13/00013_00013_00024.png
81,69,8,6,73,62,13,Train/13/00013_00013_00025.png
71,64,6,5,65,59,13,Train/13/00013_00013_00026.png
75,70,7,7,69,63,13,Train/13/00013_00013_00027.png
82,71,8,7,74,65,13,Train/13/00013_00013_00028.png
86,74,8,7,78,67,13,Train/13/00013_00013_00029.png
44,40,6,5,39,35,13,Train/13/00013_00014_00000.png
45,40,6,5,39,35,13,Train/13/00013_00014_00001.png
45,42,5,6,39,37,13,Train/13/00013_00014_00002.png
46,43,6,6,41,38,13,Train/13/00013_00014_00003.png
48,43,6,5,42,38,13,Train/13/00013_00014_00004.png
48,44,5,5,42,39,13,Train/13/00013_00014_00005.png
50,46,6,6,44,40,13,Train/13/00013_00014_00006.png
51,46,6,5,46,41,13,Train/13/00013_00014_00007.png
51,48,5,6,46,43,13,Train/13/00013_00014_00008.png
54,50,6,6,49,45,13,Train/13/00013_00014_00009.png
55,51,5,6,49,46,13,Train/13/00013_00014_00010.png
58,53,6,6,52,47,13,Train/13/00013_00014_00011.png
60,55,6,6,54,49,13,Train/13/00013_00014_00012.png
61,56,6,6,56,51,13,Train/13/00013_00014_00013.png
64,58,6,5,59,52,13,Train/13/00013_00014_00014.png
67,60,6,5,61,54,13,Train/13/00013_00014_00015.png
70,61,6,5,63,56,13,Train/13/00013_00014_00016.png
74,68,7,7,68,62,13,Train/13/00013_00014_00017.png
76,71,6,7,70,65,13,Train/13/00013_00014_00018.png
83,74,7,6,76,68,13,Train/13/00013_00014_00019.png
87,79,7,7,80,72,13,Train/13/00013_00014_00020.png
93,81,8,7,85,74,13,Train/13/00013_00014_00021.png
98,87,8,7,90,79,13,Train/13/00013_00014_00022.png
106,94,10,8,97,86,13,Train/13/00013_00014_00023.png
119,108,11,10,109,99,13,Train/13/00013_00014_00024.png
124,114,11,10,114,104,13,Train/13/00013_00014_00025.png
130,121,11,11,119,111,13,Train/13/00013_00014_00026.png
141,133,12,12,129,122,13,Train/13/00013_00014_00027.png
152,143,13,12,138,131,13,Train/13/00013_00014_00028.png
169,160,15,14,155,146,13,Train/13/00013_00014_00029.png
58,55,5,5,53,50,13,Train/13/00013_00015_00000.png
60,56,6,5,55,51,13,Train/13/00013_00015_00001.png
60,58,5,5,55,52,13,Train/13/00013_00015_00002.png
62,58,6,5,57,53,13,Train/13/00013_00015_00003.png
63,60,5,5,58,55,13,Train/13/00013_00015_00004.png
65,61,6,5,60,56,13,Train/13/00013_00015_00005.png
71,63,7,5,64,58,13,Train/13/00013_00015_00006.png
72,67,7,6,66,61,13,Train/13/00013_00015_00007.png
71,68,6,6,65,62,13,Train/13/00013_00015_00008.png
74,70,6,7,67,64,13,Train/13/00013_00015_00009.png
76,71,7,6,70,65,13,Train/13/00013_00015_00010.png
76,74,6,6,69,67,13,Train/13/00013_00015_00011.png
76,75,6,6,69,68,13,Train/13/00013_00015_00012.png
